schema,kmph,Mode of transportation,Climate,Terrain,Vegetation,River,Infrastructure
kmph-v1,4.6,horse,temperate,flat,none,none,none
kmph-v1,7.0,horse,*,flat,*,*,Road
kmph-v1,5.8,horse,*,flat,*,*,Footpath
kmph-v1,4.4,horse,temperate,flat,none,river,none
kmph-v1,3.6,horse,temperate,flat,vegetation,none,none
kmph-v1,3.4,horse,temperate,flat,vegetation,river,none
kmph-v1,3.9,horse,temperate,hills,none,none,none
kmph-v1,5.9,horse,*,hills,*,*,Road
kmph-v1,4.8,horse,temperate,hills,none,*,Footpath
kmph-v1,3.7,horse,temperate,hills,none,river,none
kmph-v1,3.0,horse,temperate,hills,vegetation,none,none
kmph-v1,3.7,horse,temperate,hills,vegetation,*,Footpath
kmph-v1,2.8,horse,temperate,hills,vegetation,river,none
kmph-v1,2.3,horse,temperate,mountains,none,none,none
kmph-v1,3.5,horse,*,mountains,*,*,Road
kmph-v1,2.9,horse,*,mountains,*,*,Footpath
kmph-v1,2.2,horse,temperate,mountains,none,river,none
kmph-v1,1.8,horse,temperate,mountains,vegetation,none,none
kmph-v1,1.7,horse,temperate,mountains,vegetation,river,none
kmph-v1,-1,horse,temperate,water,none,none,none
kmph-v1,-1,horse,temperate,water,none,*,Road
kmph-v1,-1,horse,temperate,water,none,*,Footpath
kmph-v1,-1,horse,temperate,coastal water,none,none,none
kmph-v1,-1,horse,temperate,coastal water,none,*,Road
kmph-v1,-1,horse,temperate,coastal water,none,*,Footpath
kmph-v1,-1,horse,temperate,ocean,none,none,none
kmph-v1,-1,horse,temperate,ocean,none,*,Road
kmph-v1,-1,horse,temperate,ocean,none,*,Footpath
kmph-v1,2.1,horse,temperate,wetlands,none,none,none
kmph-v1,3.2,horse,*,wetlands,*,*,Road
kmph-v1,2.6,horse,*,wetlands,*,*,Footpath
kmph-v1,2.0,horse,temperate,wetlands,none,river,none
kmph-v1,1.6,horse,temperate,wetlands,vegetation,none,none
kmph-v1,1.5,horse,temperate,wetlands,vegetation,river,none
kmph-v1,4.4,horse,tropical,flat,none,none,none
kmph-v1,4.2,horse,tropical,flat,none,river,none
kmph-v1,3.4,horse,tropical,flat,vegetation,none,none
kmph-v1,3.2,horse,tropical,flat,vegetation,river,none
kmph-v1,3.7,horse,tropical,hills,none,none,none
kmph-v1,4.6,horse,tropical,hills,none,*,Footpath
kmph-v1,3.5,horse,tropical,hills,none,river,none
kmph-v1,2.8,horse,tropical,hills,vegetation,none,none
kmph-v1,3.5,horse,tropical,hills,vegetation,*,Footpath
kmph-v1,2.7,horse,tropical,hills,vegetation,river,none
kmph-v1,2.2,horse,tropical,mountains,none,none,none
kmph-v1,2.1,horse,tropical,mountains,none,river,none
kmph-v1,1.7,horse,tropical,mountains,vegetation,none,none
kmph-v1,1.6,horse,tropical,mountains,vegetation,river,none
kmph-v1,-1,horse,tropical,water,none,none,none
kmph-v1,-1,horse,tropical,water,none,*,Road
kmph-v1,-1,horse,tropical,water,none,*,Footpath
kmph-v1,-1,horse,tropical,coastal water,none,none,none
kmph-v1,-1,horse,tropical,coastal water,none,*,Road
kmph-v1,-1,horse,tropical,coastal water,none,*,Footpath
kmph-v1,-1,horse,tropical,ocean,none,none,none
kmph-v1,-1,horse,tropical,ocean,none,*,Road
kmph-v1,-1,horse,tropical,ocean,none,*,Footpath
kmph-v1,2.0,horse,tropical,wetlands,none,none,none
kmph-v1,1.9,horse,tropical,wetlands,none,river,none
kmph-v1,1.5,horse,tropical,wetlands,vegetation,none,none
kmph-v1,1.5,horse,tropical,wetlands,vegetation,river,none
kmph-v1,4.5,horse,subtropical,flat,none,none,none
kmph-v1,4.3,horse,subtropical,flat,none,river,none
kmph-v1,3.5,horse,subtropical,flat,vegetation,none,none
kmph-v1,3.3,horse,subtropical,flat,vegetation,river,none
kmph-v1,3.7,horse,subtropical,hills,none,none,none
kmph-v1,4.7,horse,subtropical,hills,none,*,Footpath
kmph-v1,3.6,horse,subtropical,hills,none,river,none
kmph-v1,2.9,horse,subtropical,hills,vegetation,none,none
kmph-v1,3.6,horse,subtropical,hills,vegetation,*,Footpath
kmph-v1,2.8,horse,subtropical,hills,vegetation,river,none
kmph-v1,2.2,horse,subtropical,mountains,none,none,none
kmph-v1,2.1,horse,subtropical,mountains,none,river,none
kmph-v1,1.7,horse,subtropical,mountains,vegetation,none,none
kmph-v1,1.6,horse,subtropical,mountains,vegetation,river,none
kmph-v1,-1,horse,subtropical,water,none,none,none
kmph-v1,-1,horse,subtropical,water,none,*,Road
kmph-v1,-1,horse,subtropical,water,none,*,Footpath
kmph-v1,-1,horse,subtropical,coastal water,none,none,none
kmph-v1,-1,horse,subtropical,coastal water,none,*,Road
kmph-v1,-1,horse,subtropical,coastal water,none,*,Footpath
kmph-v1,-1,horse,subtropical,ocean,none,none,none
kmph-v1,-1,horse,subtropical,ocean,none,*,Road
kmph-v1,-1,horse,subtropical,ocean,none,*,Footpath
kmph-v1,2.0,horse,subtropical,wetlands,none,none,none
kmph-v1,1.9,horse,subtropical,wetlands,none,river,none
kmph-v1,1.6,horse,subtropical,wetlands,vegetation,none,none
kmph-v1,1.5,horse,subtropical,wetlands,vegetation,river,none
kmph-v1,3.9,horse,desert,flat,none,none,none
kmph-v1,3.7,horse,desert,flat,none,river,none
kmph-v1,3.0,horse,desert,flat,vegetation,none,none
kmph-v1,2.8,horse,desert,flat,vegetation,river,none
kmph-v1,3.2,horse,desert,hills,none,none,none
kmph-v1,4.0,horse,desert,hills,none,*,Footpath
kmph-v1,3.1,horse,desert,hills,none,river,none
kmph-v1,2.5,horse,desert,hills,vegetation,none,none
kmph-v1,3.1,horse,desert,hills,vegetation,*,Footpath
kmph-v1,2.4,horse,desert,hills,vegetation,river,none
kmph-v1,1.9,horse,desert,mountains,none,none,none
kmph-v1,1.8,horse,desert,mountains,none,river,none
